sentence,subject,predicate,object
रानी की वाव जयपुर में निर्मित किया गया था।,रानी की वाव,निर्मित किया गया था,जयपुर
कुतुब मीनार जोधपुर में स्थित है।,कुतुब मीनार,स्थित है,जोधपुर
सिटी पैलेस जयपुर हैदराबाद में निर्मित किया गया था।,सिटी पैलेस जयपुर,निर्मित किया गया था,हैदराबाद
हुमायूँ का मकबरा कोलकाता में स्थित है।,हुमायूँ का मकबरा,स्थित है,कोलकाता
शाहजहाँ का मकबरा उज्जैन में संरक्षित है।,शाहजहाँ का मकबरा,संरक्षित है,उज्जैन
लाल किला आगरा में प्रसिद्ध है।,लाल किला,प्रसिद्ध है,आगरा
लाल किला जोधपुर में स्थित है।,लाल किला,स्थित है,जोधपुर
सिटी पैलेस जयपुर अहमदाबाद में प्रसिद्ध है।,सिटी पैलेस जयपुर,प्रसिद्ध है,अहमदाबाद
शाहजहाँ का मकबरा जोधपुर में निर्मित किया गया था।,शाहजहाँ का मकबरा,निर्मित किया गया था,जोधपुर
गोलमंदिर दिल्ली में प्रसिद्ध है।,गोलमंदिर,प्रसिद्ध है,दिल्ली
कुतुब मीनार जयपुर में संरक्षित है।,कुतुब मीनार,संरक्षित है,जयपुर
इंडिया गेट उज्जैन में संरक्षित है।,इंडिया गेट,संरक्षित है,उज्जैन
सिटी पैलेस जयपुर आगरा में प्रसिद्ध है।,सिटी पैलेस जयपुर,प्रसिद्ध है,आगरा
कांच महल भोपाल में स्थित है।,कांच महल,स्थित है,भोपाल
कुतुब मीनार अहमदाबाद में संरक्षित है।,कुतुब मीनार,संरक्षित है,अहमदाबाद
शाहजहाँ का मकबरा भोपाल में प्रसिद्ध है।,शाहजहाँ का मकबरा,प्रसिद्ध है,भोपाल
कुतुब मीनार कोलकाता में संरक्षित है।,कुतुब मीनार,संरक्षित है,कोलकाता
हुमायूँ का मकबरा वाराणसी में स्थित है।,हुमायूँ का मकबरा,स्थित है,वाराणसी
चारमीनार उज्जैन में निर्मित किया गया था।,चारमीनार,निर्मित किया गया था,उज्जैन
लाल किला जयपुर में संरक्षित है।,लाल किला,संरक्षित है,जयपुर
सिटी पैलेस जयपुर दिल्ली में प्रसिद्ध है।,सिटी पैलेस जयपुर,प्रसिद्ध है,दिल्ली
कुतुब मीनार वाराणसी में निर्मित किया गया था।,कुतुब मीनार,निर्मित किया गया था,वाराणसी
ताजमहल जयपुर में स्थित है।,ताजमहल,स्थित है,जयपुर
सांची स्तूप हैदराबाद में प्रसिद्ध है।,सांची स्तूप,प्रसिद्ध है,हैदराबाद
जल महल जयपुर में प्रसिद्ध है।,जल महल,प्रसिद्ध है,जयपुर
रानी की वाव कोलकाता में स्थित है।,रानी की वाव,स्थित है,कोलकाता
सांची स्तूप आगरा में प्रसिद्ध है।,सांची स्तूप,प्रसिद्ध है,आगरा
शाहजहाँ का मकबरा वाराणसी में प्रसिद्ध है।,शाहजहाँ का मकबरा,प्रसिद्ध है,वाराणसी
गोलमंदिर जोधपुर में प्रसिद्ध है।,गोलमंदिर,प्रसिद्ध है,जोधपुर
रानी की वाव सूरत में निर्मित किया गया था।,रानी की वाव,निर्मित किया गया था,सूरत
जल महल भोपाल में स्थित है।,जल महल,स्थित है,भोपाल
सांची स्तूप वाराणसी में प्रसिद्ध है।,सांची स्तूप,प्रसिद्ध है,वाराणसी
रानी की वाव भोपाल में प्रसिद्ध है।,रानी की वाव,प्रसिद्ध है,भोपाल
जल महल अहमदाबाद में निर्मित किया गया था।,जल महल,निर्मित किया गया था,अहमदाबाद
लाल किला अहमदाबाद में प्रसिद्ध है।,लाल किला,प्रसिद्ध है,अहमदाबाद
सांची स्तूप अहमदाबाद में स्थित है।,सांची स्तूप,स्थित है,अहमदाबाद
गोलकोंडा किला उज्जैन में स्थित है।,गोलकोंडा किला,स्थित है,उज्जैन
हुमायूँ का मकबरा वाराणसी में संरक्षित है।,हुमायूँ का मकबरा,संरक्षित है,वाराणसी
ताजमहल कोलकाता में प्रसिद्ध है।,ताजमहल,प्रसिद्ध है,कोलकाता
गोलकोंडा किला भोपाल में प्रसिद्ध है।,गोलकोंडा किला,प्रसिद्ध है,भोपाल
ताजमहल आगरा में संरक्षित है।,ताजमहल,संरक्षित है,आगरा
शाहजहाँ का मकबरा अहमदाबाद में निर्मित किया गया था।,शाहजहाँ का मकबरा,निर्मित किया गया था,अहमदाबाद
रानी की वाव दिल्ली में प्रसिद्ध है।,रानी की वाव,प्रसिद्ध है,दिल्ली
कुतुब मीनार कोलकाता में स्थित है।,कुतुब मीनार,स्थित है,कोलकाता
इंडिया गेट कोलकाता में स्थित है।,इंडिया गेट,स्थित है,कोलकाता
जल महल जयपुर में निर्मित किया गया था।,जल महल,निर्मित किया गया था,जयपुर
लाल किला हैदराबाद में प्रसिद्ध है।,लाल किला,प्रसिद्ध है,हैदराबाद
सिटी पैलेस जयपुर जयपुर में संरक्षित है।,सिटी पैलेस जयपुर,संरक्षित है,जयपुर
गोलमंदिर आगरा में स्थित है।,गोलमंदिर,स्थित है,आगरा
लाल किला अहमदाबाद में स्थित है।,लाल किला,स्थित है,अहमदाबाद
जल महल जयपुर में स्थित है।,जल महल,स्थित है,जयपुर
इंडिया गेट आगरा में संरक्षित है।,इंडिया गेट,संरक्षित है,आगरा
गोलमंदिर दिल्ली में संरक्षित है।,गोलमंदिर,संरक्षित है,दिल्ली
शाहजहाँ का मकबरा भोपाल में प्रसिद्ध है।,शाहजहाँ का मकबरा,प्रसिद्ध है,भोपाल
जल महल दिल्ली में निर्मित किया गया था।,जल महल,निर्मित किया गया था,दिल्ली
रानी की वाव सूरत में निर्मित किया गया था।,रानी की वाव,निर्मित किया गया था,सूरत
सांची स्तूप हैदराबाद में प्रसिद्ध है।,सांची स्तूप,प्रसिद्ध है,हैदराबाद
कुतुब मीनार दिल्ली में निर्मित किया गया था।,कुतुब मीनार,निर्मित किया गया था,दिल्ली
हुमायूँ का मकबरा आगरा में निर्मित किया गया था।,हुमायूँ का मकबरा,निर्मित किया गया था,आगरा
रानी की वाव वाराणसी में स्थित है।,रानी की वाव,स्थित है,वाराणसी
रानी की वाव सूरत में निर्मित किया गया था।,रानी की वाव,निर्मित किया गया था,सूरत
लाल किला सूरत में स्थित है।,लाल किला,स्थित है,सूरत
ताजमहल सूरत में निर्मित किया गया था।,ताजमहल,निर्मित किया गया था,सूरत
कुतुब मीनार भोपाल में प्रसिद्ध है।,कुतुब मीनार,प्रसिद्ध है,भोपाल
सिटी पैलेस जयपुर कोलकाता में स्थित है।,सिटी पैलेस जयपुर,स्थित है,कोलकाता
गोलकोंडा किला जयपुर में प्रसिद्ध है।,गोलकोंडा किला,प्रसिद्ध है,जयपुर
हुमायूँ का मकबरा आगरा में प्रसिद्ध है।,हुमायूँ का मकबरा,प्रसिद्ध है,आगरा
कांच महल कोलकाता में संरक्षित है।,कांच महल,संरक्षित है,कोलकाता
हुमायूँ का मकबरा दिल्ली में निर्मित किया गया था।,हुमायूँ का मकबरा,निर्मित किया गया था,दिल्ली
चारमीनार जयपुर में निर्मित किया गया था।,चारमीनार,निर्मित किया गया था,जयपुर
गोलकोंडा किला जयपुर में निर्मित किया गया था।,गोलकोंडा किला,निर्मित किया गया था,जयपुर
सांची स्तूप हैदराबाद में स्थित है।,सांची स्तूप,स्थित है,हैदराबाद
गोलमंदिर भोपाल में संरक्षित है।,गोलमंदिर,संरक्षित है,भोपाल
लाल किला अहमदाबाद में निर्मित किया गया था।,लाल किला,निर्मित किया गया था,अहमदाबाद
लाल किला कोलकाता में संरक्षित है।,लाल किला,संरक्षित है,कोलकाता
ताजमहल भोपाल में निर्मित किया गया था।,ताजमहल,निर्मित किया गया था,भोपाल
इंडिया गेट वाराणसी में स्थित है।,इंडिया गेट,स्थित है,वाराणसी
हुमायूँ का मकबरा हैदराबाद में स्थित है।,हुमायूँ का मकबरा,स्थित है,हैदराबाद
हुमायूँ का मकबरा भोपाल में संरक्षित है।,हुमायूँ का मकबरा,संरक्षित है,भोपाल
सिटी पैलेस जयपुर आगरा में संरक्षित है।,सिटी पैलेस जयपुर,संरक्षित है,आगरा
शाहजहाँ का मकबरा आगरा में स्थित है।,शाहजहाँ का मकबरा,स्थित है,आगरा
चारमीनार दिल्ली में प्रसिद्ध है।,चारमीनार,प्रसिद्ध है,दिल्ली
चारमीनार आगरा में निर्मित किया गया था।,चारमीनार,निर्मित किया गया था,आगरा
ताजमहल भोपाल में संरक्षित है।,ताजमहल,संरक्षित है,भोपाल
ताजमहल वाराणसी में संरक्षित है।,ताजमहल,संरक्षित है,वाराणसी
जल महल जयपुर में निर्मित किया गया था।,जल महल,निर्मित किया गया था,जयपुर
जल महल आगरा में संरक्षित है।,जल महल,संरक्षित है,आगरा
रानी की वाव दिल्ली में प्रसिद्ध है।,रानी की वाव,प्रसिद्ध है,दिल्ली
चारमीनार दिल्ली में स्थित है।,चारमीनार,स्थित है,दिल्ली
सांची स्तूप जयपुर में स्थित है।,सांची स्तूप,स्थित है,जयपुर
गोलमंदिर सूरत में प्रसिद्ध है।,गोलमंदिर,प्रसिद्ध है,सूरत
चारमीनार वाराणसी में स्थित है।,चारमीनार,स्थित है,वाराणसी
कुतुब मीनार सूरत में निर्मित किया गया था।,कुतुब मीनार,निर्मित किया गया था,सूरत
कुतुब मीनार जयपुर में प्रसिद्ध है।,कुतुब मीनार,प्रसिद्ध है,जयपुर
जल महल जयपुर में संरक्षित है।,जल महल,संरक्षित है,जयपुर
कुतुब मीनार वाराणसी में निर्मित किया गया था।,कुतुब मीनार,निर्मित किया गया था,वाराणसी
जल महल भोपाल में संरक्षित है।,जल महल,संरक्षित है,भोपाल
लाल किला अहमदाबाद में स्थित है।,लाल किला,स्थित है,अहमदाबाद
सिटी पैलेस जयपुर उज्जैन में स्थित है।,सिटी पैलेस जयपुर,स्थित है,उज्जैन
शाहजहाँ का मकबरा जोधपुर में स्थित है।,शाहजहाँ का मकबरा,स्थित है,जोधपुर
ताजमहल जोधपुर में संरक्षित है।,ताजमहल,संरक्षित है,जोधपुर
लाल किला दिल्ली में निर्मित किया गया था।,लाल किला,निर्मित किया गया था,दिल्ली
कांच महल उज्जैन में प्रसिद्ध है।,कांच महल,प्रसिद्ध है,उज्जैन
हुमायूँ का मकबरा उज्जैन में स्थित है।,हुमायूँ का मकबरा,स्थित है,उज्जैन
चारमीनार जयपुर में स्थित है।,चारमीनार,स्थित है,जयपुर
कुतुब मीनार कोलकाता में निर्मित किया गया था।,कुतुब मीनार,निर्मित किया गया था,कोलकाता
जल महल वाराणसी में प्रसिद्ध है।,जल महल,प्रसिद्ध है,वाराणसी
रानी की वाव जोधपुर में निर्मित किया गया था।,रानी की वाव,निर्मित किया गया था,जोधपुर
हुमायूँ का मकबरा हैदराबाद में निर्मित किया गया था।,हुमायूँ का मकबरा,निर्मित किया गया था,हैदराबाद
शाहजहाँ का मकबरा उज्जैन में स्थित है।,शाहजहाँ का मकबरा,स्थित है,उज्जैन
ताजमहल उज्जैन में स्थित है।,ताजमहल,स्थित है,उज्जैन
ताजमहल हैदराबाद में प्रसिद्ध है।,ताजमहल,प्रसिद्ध है,हैदराबाद
चारमीनार हैदराबाद में प्रसिद्ध है।,चारमीनार,प्रसिद्ध है,हैदराबाद
चारमीनार जयपुर में स्थित है।,चारमीनार,स्थित है,जयपुर
हुमायूँ का मकबरा कोलकाता में स्थित है।,हुमायूँ का मकबरा,स्थित है,कोलकाता
जल महल उज्जैन में स्थित है।,जल महल,स्थित है,उज्जैन
गोलमंदिर भोपाल में प्रसिद्ध है।,गोलमंदिर,प्रसिद्ध है,भोपाल
हुमायूँ का मकबरा उज्जैन में संरक्षित है।,हुमायूँ का मकबरा,संरक्षित है,उज्जैन
कांच महल हैदराबाद में संरक्षित है।,कांच महल,संरक्षित है,हैदराबाद
इंडिया गेट हैदराबाद में निर्मित किया गया था।,इंडिया गेट,निर्मित किया गया था,हैदराबाद
कांच महल जोधपुर में संरक्षित है।,कांच महल,संरक्षित है,जोधपुर
रानी की वाव अहमदाबाद में स्थित है।,रानी की वाव,स्थित है,अहमदाबाद
इंडिया गेट जयपुर में प्रसिद्ध है।,इंडिया गेट,प्रसिद्ध है,जयपुर
सिटी पैलेस जयपुर जोधपुर में प्रसिद्ध है।,सिटी पैलेस जयपुर,प्रसिद्ध है,जोधपुर
रानी की वाव वाराणसी में संरक्षित है।,रानी की वाव,संरक्षित है,वाराणसी
गोलमंदिर जयपुर में संरक्षित है।,गोलमंदिर,संरक्षित है,जयपुर
ताजमहल आगरा में स्थित है।,ताजमहल,स्थित है,आगरा
कांच महल जयपुर में प्रसिद्ध है।,कांच महल,प्रसिद्ध है,जयपुर
इंडिया गेट आगरा में प्रसिद्ध है।,इंडिया गेट,प्रसिद्ध है,आगरा
रानी की वाव जोधपुर में स्थित है।,रानी की वाव,स्थित है,जोधपुर
रानी की वाव अहमदाबाद में निर्मित किया गया था।,रानी की वाव,निर्मित किया गया था,अहमदाबाद
रानी की वाव जयपुर में संरक्षित है।,रानी की वाव,संरक्षित है,जयपुर
गोलकोंडा किला हैदराबाद में निर्मित किया गया था।,गोलकोंडा किला,निर्मित किया गया था,हैदराबाद
गोलकोंडा किला उज्जैन में संरक्षित है।,गोलकोंडा किला,संरक्षित है,उज्जैन
चारमीनार उज्जैन में प्रसिद्ध है।,चारमीनार,प्रसिद्ध है,उज्जैन
गोलकोंडा किला जोधपुर में प्रसिद्ध है।,गोलकोंडा किला,प्रसिद्ध है,जोधपुर
हुमायूँ का मकबरा जयपुर में संरक्षित है।,हुमायूँ का मकबरा,संरक्षित है,जयपुर
जल महल दिल्ली में निर्मित किया गया था।,जल महल,निर्मित किया गया था,दिल्ली
कांच महल सूरत में प्रसिद्ध है।,कांच महल,प्रसिद्ध है,सूरत
रानी की वाव उज्जैन में संरक्षित है।,रानी की वाव,संरक्षित है,उज्जैन
कुतुब मीनार आगरा में प्रसिद्ध है।,कुतुब मीनार,प्रसिद्ध है,आगरा
सांची स्तूप जयपुर में प्रसिद्ध है।,सांची स्तूप,प्रसिद्ध है,जयपुर
चारमीनार आगरा में प्रसिद्ध है।,चारमीनार,प्रसिद्ध है,आगरा
ताजमहल वाराणसी में स्थित है।,ताजमहल,स्थित है,वाराणसी
जल महल अहमदाबाद में निर्मित किया गया था।,जल महल,निर्मित किया गया था,अहमदाबाद
सांची स्तूप जोधपुर में प्रसिद्ध है।,सांची स्तूप,प्रसिद्ध है,जोधपुर
सांची स्तूप कोलकाता में संरक्षित है।,सांची स्तूप,संरक्षित है,कोलकाता
ताजमहल भोपाल में निर्मित किया गया था।,ताजमहल,निर्मित किया गया था,भोपाल
जल महल सूरत में प्रसिद्ध है।,जल महल,प्रसिद्ध है,सूरत
जल महल जोधपुर में प्रसिद्ध है।,जल महल,प्रसिद्ध है,जोधपुर
चारमीनार कोलकाता में स्थित है।,चारमीनार,स्थित है,कोलकाता
हुमायूँ का मकबरा भोपाल में स्थित है।,हुमायूँ का मकबरा,स्थित है,भोपाल
शाहजहाँ का मकबरा दिल्ली में प्रसिद्ध है।,शाहजहाँ का मकबरा,प्रसिद्ध है,दिल्ली
हुमायूँ का मकबरा उज्जैन में प्रसिद्ध है।,हुमायूँ का मकबरा,प्रसिद्ध है,उज्जैन
जल महल जोधपुर में प्रसिद्ध है।,जल महल,प्रसिद्ध है,जोधपुर
कांच महल जयपुर में निर्मित किया गया था।,कांच महल,निर्मित किया गया था,जयपुर
गोलकोंडा किला कोलकाता में प्रसिद्ध है।,गोलकोंडा किला,प्रसिद्ध है,कोलकाता
ताजमहल जोधपुर में प्रसिद्ध है।,ताजमहल,प्रसिद्ध है,जोधपुर
लाल किला जयपुर में संरक्षित है।,लाल किला,संरक्षित है,जयपुर
सिटी पैलेस जयपुर हैदराबाद में प्रसिद्ध है।,सिटी पैलेस जयपुर,प्रसिद्ध है,हैदराबाद
कुतुब मीनार जोधपुर में प्रसिद्ध है।,कुतुब मीनार,प्रसिद्ध है,जोधपुर
चारमीनार कोलकाता में प्रसिद्ध है।,चारमीनार,प्रसिद्ध है,कोलकाता
कांच महल जयपुर में संरक्षित है।,कांच महल,संरक्षित है,जयपुर
शाहजहाँ का मकबरा अहमदाबाद में संरक्षित है।,शाहजहाँ का मकबरा,संरक्षित है,अहमदाबाद
ताजमहल अहमदाबाद में स्थित है।,ताजमहल,स्थित है,अहमदाबाद
शाहजहाँ का मकबरा जोधपुर में संरक्षित है।,शाहजहाँ का मकबरा,संरक्षित है,जोधपुर
इंडिया गेट भोपाल में संरक्षित है।,इंडिया गेट,संरक्षित है,भोपाल
ताजमहल दिल्ली में प्रसिद्ध है।,ताजमहल,प्रसिद्ध है,दिल्ली
गोलमंदिर कोलकाता में प्रसिद्ध है।,गोलमंदिर,प्रसिद्ध है,कोलकाता
चारमीनार सूरत में स्थित है।,चारमीनार,स्थित है,सूरत
शाहजहाँ का मकबरा कोलकाता में प्रसिद्ध है।,शाहजहाँ का मकबरा,प्रसिद्ध है,कोलकाता
कांच महल अहमदाबाद में निर्मित किया गया था।,कांच महल,निर्मित किया गया था,अहमदाबाद
ताजमहल जयपुर में संरक्षित है।,ताजमहल,संरक्षित है,जयपुर
सांची स्तूप अहमदाबाद में स्थित है।,सांची स्तूप,स्थित है,अहमदाबाद
इंडिया गेट जयपुर में प्रसिद्ध है।,इंडिया गेट,प्रसिद्ध है,जयपुर
रानी की वाव हैदराबाद में स्थित है।,रानी की वाव,स्थित है,हैदराबाद
रानी की वाव हैदराबाद में संरक्षित है।,रानी की वाव,संरक्षित है,हैदराबाद
सांची स्तूप हैदराबाद में स्थित है।,सांची स्तूप,स्थित है,हैदराबाद
कुतुब मीनार जोधपुर में प्रसिद्ध है।,कुतुब मीनार,प्रसिद्ध है,जोधपुर
गोलकोंडा किला जयपुर में संरक्षित है।,गोलकोंडा किला,संरक्षित है,जयपुर
सिटी पैलेस जयपुर कोलकाता में निर्मित किया गया था।,सिटी पैलेस जयपुर,निर्मित किया गया था,कोलकाता
चारमीनार सूरत में निर्मित किया गया था।,चारमीनार,निर्मित किया गया था,सूरत
हुमायूँ का मकबरा दिल्ली में स्थित है।,हुमायूँ का मकबरा,स्थित है,दिल्ली
ताजमहल अहमदाबाद में संरक्षित है।,ताजमहल,संरक्षित है,अहमदाबाद
सांची स्तूप उज्जैन में संरक्षित है।,सांची स्तूप,संरक्षित है,उज्जैन
कांच महल उज्जैन में संरक्षित है।,कांच महल,संरक्षित है,उज्जैन
कांच महल जयपुर में स्थित है।,कांच महल,स्थित है,जयपुर
रानी की वाव आगरा में निर्मित किया गया था।,रानी की वाव,निर्मित किया गया था,आगरा
रानी की वाव जोधपुर में प्रसिद्ध है।,रानी की वाव,प्रसिद्ध है,जोधपुर
कांच महल सूरत में निर्मित किया गया था।,कांच महल,निर्मित किया गया था,सूरत
हुमायूँ का मकबरा अहमदाबाद में निर्मित किया गया था।,हुमायूँ का मकबरा,निर्मित किया गया था,अहमदाबाद
चारमीनार जयपुर में निर्मित किया गया था।,चारमीनार,निर्मित किया गया था,जयपुर
जल महल दिल्ली में निर्मित किया गया था।,जल महल,निर्मित किया गया था,दिल्ली
इंडिया गेट भोपाल में संरक्षित है।,इंडिया गेट,संरक्षित है,भोपाल
हुमायूँ का मकबरा हैदराबाद में निर्मित किया गया था।,हुमायूँ का मकबरा,निर्मित किया गया था,हैदराबाद
सांची स्तूप वाराणसी में स्थित है।,सांची स्तूप,स्थित है,वाराणसी
सिटी पैलेस जयपुर कोलकाता में संरक्षित है।,सिटी पैलेस जयपुर,संरक्षित है,कोलकाता
हुमायूँ का मकबरा दिल्ली में प्रसिद्ध है।,हुमायूँ का मकबरा,प्रसिद्ध है,दिल्ली
कुतुब मीनार आगरा में निर्मित किया गया था।,कुतुब मीनार,निर्मित किया गया था,आगरा
कुतुब मीनार जोधपुर में संरक्षित है।,कुतुब मीनार,संरक्षित है,जोधपुर
गोलकोंडा किला अहमदाबाद में निर्मित किया गया था।,गोलकोंडा किला,निर्मित किया गया था,अहमदाबाद
हुमायूँ का मकबरा दिल्ली में निर्मित किया गया था।,हुमायूँ का मकबरा,निर्मित किया गया था,दिल्ली
कुतुब मीनार आगरा में निर्मित किया गया था।,कुतुब मीनार,निर्मित किया गया था,आगरा
इंडिया गेट वाराणसी में निर्मित किया गया था।,इंडिया गेट,निर्मित किया गया था,वाराणसी
शाहजहाँ का मकबरा अहमदाबाद में निर्मित किया गया था।,शाहजहाँ का मकबरा,निर्मित किया गया था,अहमदाबाद
गोलमंदिर अहमदाबाद में स्थित है।,गोलमंदिर,स्थित है,अहमदाबाद
जल महल अहमदाबाद में संरक्षित है।,जल महल,संरक्षित है,अहमदाबाद
रानी की वाव उज्जैन में प्रसिद्ध है।,रानी की वाव,प्रसिद्ध है,उज्जैन
ताजमहल वाराणसी में प्रसिद्ध है।,ताजमहल,प्रसिद्ध है,वाराणसी
जल महल उज्जैन में निर्मित किया गया था।,जल महल,निर्मित किया गया था,उज्जैन
रानी की वाव जोधपुर में निर्मित किया गया था।,रानी की वाव,निर्मित किया गया था,जोधपुर
शाहजहाँ का मकबरा कोलकाता में संरक्षित है।,शाहजहाँ का मकबरा,संरक्षित है,कोलकाता
गोलमंदिर अहमदाबाद में निर्मित किया गया था।,गोलमंदिर,निर्मित किया गया था,अहमदाबाद
गोलकोंडा किला कोलकाता में संरक्षित है।,गोलकोंडा किला,संरक्षित है,कोलकाता
इंडिया गेट कोलकाता में प्रसिद्ध है।,इंडिया गेट,प्रसिद्ध है,कोलकाता
जल महल उज्जैन में संरक्षित है।,जल महल,संरक्षित है,उज्जैन
कुतुब मीनार दिल्ली में संरक्षित है।,कुतुब मीनार,संरक्षित है,दिल्ली
लाल किला वाराणसी में स्थित है।,लाल किला,स्थित है,वाराणसी
जल महल सूरत में संरक्षित है।,जल महल,संरक्षित है,सूरत
रानी की वाव उज्जैन में स्थित है।,रानी की वाव,स्थित है,उज्जैन
जल महल जोधपुर में संरक्षित है।,जल महल,संरक्षित है,जोधपुर
सांची स्तूप दिल्ली में संरक्षित है।,सांची स्तूप,संरक्षित है,दिल्ली
चारमीनार वाराणसी में स्थित है।,चारमीनार,स्थित है,वाराणसी
शाहजहाँ का मकबरा जयपुर में स्थित है।,शाहजहाँ का मकबरा,स्थित है,जयपुर
गोलमंदिर जोधपुर में स्थित है।,गोलमंदिर,स्थित है,जोधपुर
लाल किला वाराणसी में प्रसिद्ध है।,लाल किला,प्रसिद्ध है,वाराणसी
ताजमहल दिल्ली में प्रसिद्ध है।,ताजमहल,प्रसिद्ध है,दिल्ली
रानी की वाव दिल्ली में निर्मित किया गया था।,रानी की वाव,निर्मित किया गया था,दिल्ली
ताजमहल दिल्ली में स्थित है।,ताजमहल,स्थित है,दिल्ली
सिटी पैलेस जयपुर जोधपुर में स्थित है।,सिटी पैलेस जयपुर,स्थित है,जोधपुर
सांची स्तूप कोलकाता में संरक्षित है।,सांची स्तूप,संरक्षित है,कोलकाता
चारमीनार दिल्ली में प्रसिद्ध है।,चारमीनार,प्रसिद्ध है,दिल्ली
रानी की वाव आगरा में संरक्षित है।,रानी की वाव,संरक्षित है,आगरा
हुमायूँ का मकबरा सूरत में निर्मित किया गया था।,हुमायूँ का मकबरा,निर्मित किया गया था,सूरत
हुमायूँ का मकबरा वाराणसी में निर्मित किया गया था।,हुमायूँ का मकबरा,निर्मित किया गया था,वाराणसी
जल महल दिल्ली में संरक्षित है।,जल महल,संरक्षित है,दिल्ली
सांची स्तूप कोलकाता में प्रसिद्ध है।,सांची स्तूप,प्रसिद्ध है,कोलकाता
सिटी पैलेस जयपुर सूरत में निर्मित किया गया था।,सिटी पैलेस जयपुर,निर्मित किया गया था,सूरत
चारमीनार कोलकाता में स्थित है।,चारमीनार,स्थित है,कोलकाता
हुमायूँ का मकबरा वाराणसी में निर्मित किया गया था।,हुमायूँ का मकबरा,निर्मित किया गया था,वाराणसी
ताजमहल जयपुर में संरक्षित है।,ताजमहल,संरक्षित है,जयपुर
लाल किला जोधपुर में प्रसिद्ध है।,लाल किला,प्रसिद्ध है,जोधपुर
लाल किला हैदराबाद में स्थित है।,लाल किला,स्थित है,हैदराबाद
कुतुब मीनार वाराणसी में निर्मित किया गया था।,कुतुब मीनार,निर्मित किया गया था,वाराणसी
रानी की वाव दिल्ली में स्थित है।,रानी की वाव,स्थित है,दिल्ली
सांची स्तूप आगरा में स्थित है।,सांची स्तूप,स्थित है,आगरा
कांच महल अहमदाबाद में स्थित है।,कांच महल,स्थित है,अहमदाबाद
सिटी पैलेस जयपुर जयपुर में संरक्षित है।,सिटी पैलेस जयपुर,संरक्षित है,जयपुर
शाहजहाँ का मकबरा भोपाल में स्थित है।,शाहजहाँ का मकबरा,स्थित है,भोपाल
रानी की वाव जयपुर में प्रसिद्ध है।,रानी की वाव,प्रसिद्ध है,जयपुर
सिटी पैलेस जयपुर कोलकाता में प्रसिद्ध है।,सिटी पैलेस जयपुर,प्रसिद्ध है,कोलकाता
सांची स्तूप कोलकाता में प्रसिद्ध है।,सांची स्तूप,प्रसिद्ध है,कोलकाता
कांच महल दिल्ली में निर्मित किया गया था।,कांच महल,निर्मित किया गया था,दिल्ली
गोलमंदिर वाराणसी में निर्मित किया गया था।,गोलमंदिर,निर्मित किया गया था,वाराणसी
